Filename, Energy, Contrast, Homogenity, IDM, Entropy, Mean1, Cluster Shade, Cluster Prominence, Shapes Detected, Circle, Triangle, Rectangle, Pentagon, Hexagon, Circle Avg. Area, Triangle Avg. Area, Rectangle Avg. Area, Pentagon Avg. Area, Hexagon Avg. Area
20180707-IMG_1461__0,0.604991,475.948547,0.963298,0.024974,0.377461,55.284637,16210541,6903156736,9,2,1,3,2,1,8344,55110,2284.166748,39509,1081
20180707-IMG_1461__1,0.958021,91.302719,0.994271,0.004222,0.063146,4.014411,1954752.875,980605120,2,1,0,1,0,0,0,inf,0,#NAME?,inf
20180707-IMG_1461__2,0.504669,654.494263,0.947399,0.036025,0.470795,76.745155,18290304,7385731072,10,5,0,2,1,2,0,inf,5122.5,17721,4492.75
20180707-IMG_1461__3,0.664896,411.464325,0.964565,0.024592,0.341594,42.774982,14616867,6525106688,7,3,0,1,0,3,0,inf,0,inf,2258.5
20180707-IMG_1462__0,0.536324,402.645386,0.968943,0.021625,0.396170,75.713547,16337216.000000,6337099264.000000,16,10,0,2,1,3,0.000000,inf,12155.750000,1247205.000000,6190.833496
20180707-IMG_1462__1,0.666534,441.295654,0.963876,0.024573,0.342205,42.334488,14637581.000000,6558982656.000000,9,3,1,1,1,3,144810.328125,9556.000000,8775.000000,78016.000000,702.500000
20180707-IMG_1462__2,0.315858,1780.664429,0.854290,0.097470,0.774315,132.009979,22401012.000000,8888300544.000000,6,2,0,0,0,4,0.000000,-nan(ind),-nan(ind),inf,119.000000
20180707-IMG_1462__3,0.347238,1879.267578,0.855725,0.095297,0.754078,159.001190,19594136.000000,7752795648.000000,5,1,2,0,1,1,326946.000000,0.000000,inf,2204.000000,98.500000
20180707-IMG_1464__0,0.547059,567.613220,0.948280,0.035387,0.447078,64.396393,17991616.000000,7589201920.000000,15,12,0,2,0,1,0.000000,inf,0.000000,inf,44849.000000
20180707-IMG_1464__1,0.907115,161.910889,0.987433,0.008853,0.124712,9.522670,4503298.500000,2233856256.000000,9,7,0,0,1,1,0.000000,-nan(ind),inf,1729.500000,17928.500000
20180707-IMG_1464__2,0.532224,610.754150,0.947791,0.035587,0.455931,68.652145,18240448.000000,7588352000.000000,17,10,1,1,2,3,38061.601563,22337.000000,23483.500000,147473.000000,12055.833008
20180707-IMG_1464__3,0.862566,238.039291,0.980559,0.013467,0.175622,14.250566,6488744.000000,3178553088.000000,12,8,0,0,1,3,0.000000,-nan(ind),inf,18064.000000,7355.166504
20180707-IMG_1465__0,0.860188,292.256256,0.978489,0.014695,0.182133,14.458095,6640070.500000,3264372736.000000,17,9,2,1,2,3,2710.555664,4041.500000,11751.500000,20352.000000,12106.500000
20180707-IMG_1465__1,0.447928,508.570984,0.954928,0.030585,0.478464,108.957932,15689414.000000,5609305088.000000,12,7,0,1,0,4,0.000000,inf,0.000000,inf,10045.250000
20180707-IMG_1465__2,0.792102,386.299438,0.970598,0.020104,0.248893,23.011820,9904068.000000,4763824640.000000,12,8,0,1,1,2,0.000000,inf,5189.500000,76431.000000,11297.000000
20180707-IMG_1465__3,0.746902,313.103424,0.974402,0.017385,0.268445,31.298595,12169770.000000,5656820736.000000,16,11,0,1,2,2,0.000000,inf,158873.500000,46130.500000,26538.750000
