Filename, Energy, Contrast, Homogenity, IDM, Entropy, Mean1, Cluster Shade, Cluster Prominence, Shapes Detected, Circle, Triangle, Rectangle, Irregular Small, Irregular Large, Circle Area, Triangle Area, Rectangle Area, Irreg. S. Area, Irreg. L Area
20180630-IMG_0869__0,0.472108,12.468683,0.918307,0.094466,0.894447,9.209965,82579.039063,5923113.000000,39,3,0,0,28,8,0.000000,-nan(ind),inf,1313.571411,21345.562500
20180630-IMG_0869__1,0.269920,26.699905,0.880283,0.152128,1.349261,17.835159,317698.625000,33568480.000000,46,0,0,1,39,6,-nan(ind),inf,0.000000,1539.859009,33056.082031
20180630-IMG_0869__2,0.277380,28.648121,0.889180,0.136290,1.295677,22.623053,509233.468750,56198568.000000,72,3,0,0,64,5,0.000000,-nan(ind),inf,1306.617188,39293.000000
20180630-IMG_0869__3,0.555219,8.997489,0.932561,0.081251,0.760977,7.368932,67816.421875,4995445.500000,47,2,0,0,39,6,0.000000,-nan(ind),inf,1740.769287,31337.250000
20180630-IMG_0873__0,0.284297,12.734825,0.898886,0.146576,1.243316,23.166555,505463.343750,54394644.000000,41,0,0,0,37,4,-nan(ind),-nan(ind),-nan(ind),1849.473022,22116.875000
20180630-IMG_0873__1,0.996539,0.547856,0.998817,0.000843,0.007657,0.005672,41.115894,2993.729492,3,0,0,0,3,0,-nan(ind),-nan(ind),-nan(ind),214.333328,-nan(ind)
20180630-IMG_0873__2,0.399000,4.461472,0.939096,0.100487,1.016068,17.558792,362263.281250,38254472.000000,21,0,0,0,20,1,-nan(ind),-nan(ind),-nan(ind),1111.750000,12893.000000
20180630-IMG_0873__3,0.996219,0.523148,0.998697,0.000905,0.008255,0.005729,38.429359,2753.721924,3,0,0,0,3,0,-nan(ind),-nan(ind),-nan(ind),269.833344,-nan(ind)
20180630-IMG_0874__0,0.450327,158.595276,0.795589,0.115370,0.953067,14.788856,550756.625000,77016864.000000,44,0,1,0,39,4,inf,0.000000,-nan(ind),1052.589722,30554.125000
20180630-IMG_0874__1,0.496009,20.591805,0.875983,0.117486,0.937193,8.325835,81822.445313,6073780.000000,107,2,1,0,92,12,765.250000,0.000000,inf,1741.956543,21271.416016
20180630-IMG_0874__2,0.546057,111.334297,0.843003,0.090679,0.775290,11.957547,440420.125000,61096900.000000,78,1,0,0,71,6,0.000000,-nan(ind),inf,1000.873230,26677.250000
20180630-IMG_0874__3,0.596511,23.812668,0.887059,0.091513,0.743690,6.183854,66207.343750,5075356.000000,156,3,1,2,131,19,542.500000,5178.000000,1275.000000,1301.404541,30824.658203
20180630-IMG_0875__0,0.539907,33.589222,0.885506,0.106104,0.896329,11.197639,242208.906250,26556922.000000,83,10,0,1,58,14,0.000000,inf,40431.000000,2598.025879,23943.964844
20180630-IMG_0875__1,0.569410,32.304939,0.895219,0.098641,0.826911,10.416657,229063.750000,25192820.000000,106,5,1,0,86,14,29999.300781,0.000000,inf,1595.656982,27111.072266
20180630-IMG_0875__2,0.643960,15.079374,0.921318,0.077934,0.669039,6.687257,87194.226563,7406921.000000,95,7,0,0,69,19,0.000000,-nan(ind),inf,1966.644897,27139.421875
20180630-IMG_0875__3,0.843734,8.674459,0.960118,0.032916,0.310580,2.386631,28141.433594,2284722.000000,64,4,0,0,53,7,0.000000,-nan(ind),inf,2062.481201,16448.285156
20180630-IMG_0876__0,0.647845,19.760530,0.912098,0.077901,0.692373,6.675033,101300.726563,9432491.000000,85,4,0,1,65,15,0.000000,inf,8186.500000,2201.276855,24251.500000
20180630-IMG_0876__1,0.378296,24.596163,0.872901,0.140333,1.149544,13.955694,206957.546875,18877442.000000,75,4,0,0,61,10,0.000000,-nan(ind),inf,1341.352417,25229.800781
20180630-IMG_0876__2,0.591866,16.806637,0.909728,0.087457,0.760577,7.406113,89139.000000,7299542.500000,70,2,0,1,50,17,0.000000,inf,2339.000000,2893.810059,24917.058594
20180630-IMG_0876__3,0.550483,15.269708,0.911879,0.092241,0.813873,8.588476,104398.148438,8553942.000000,49,1,0,2,30,16,0.000000,inf,404.500000,2254.583252,31093.718750
20180630-IMG_0877__0,0.743696,25.369019,0.956125,0.036296,0.397722,8.452739,320550.875000,44575244.000000,32,1,0,0,25,6,0.000000,-nan(ind),inf,1102.280029,38235.167969
20180630-IMG_0877__1,0.741035,3.128695,0.953403,0.040460,0.409229,2.447552,8479.927734,360310.281250,49,0,0,1,41,7,-nan(ind),inf,0.000000,1346.951172,30225.500000
20180630-IMG_0877__2,0.576886,6.720836,0.940189,0.071442,0.720444,6.743164,56311.582031,3856462.000000,67,1,0,1,55,10,0.000000,inf,725.000000,2220.772705,30028.500000
20180630-IMG_0877__3,0.148447,53.024380,0.825641,0.200751,1.629322,28.368305,631065.625000,69511664.000000,88,1,1,1,74,11,177174.500000,113110.500000,453.500000,1125.074341,26534.544922
20180630-IMG_0866__0,0.582294,12.843486,0.921079,0.080102,0.746367,6.743495,63949.636719,4702526.500000,75,6,0,2,59,8,0.000000,inf,4355.000000,1880.677979,21236.062500
20180630-IMG_0866__1,0.501097,19.219540,0.903668,0.103999,0.912868,9.847411,127846.531250,10999437.000000,77,7,1,2,57,10,248.500000,7126.000000,7643.500000,1777.122803,43008.449219
20180630-IMG_0866__2,0.377774,25.701651,0.873883,0.133739,1.135403,13.612606,189571.421875,16674926.000000,76,4,0,2,57,13,0.000000,inf,4503.250000,1601.140381,38792.578125
20180630-IMG_0866__3,0.421816,18.928629,0.896528,0.120527,1.029196,11.633610,138205.921875,11441344.000000,62,2,1,3,46,10,2519.750000,14899.500000,1902.000000,1941.750000,25955.599609
20180630-IMG_0859__0,0.420450,4.058764,0.938053,0.097048,0.913247,9.418378,63023.746094,3899800.750000,23,0,0,0,22,1,-nan(ind),-nan(ind),-nan(ind),1087.159058,21352.000000
20180630-IMG_0859__1,0.437890,13.529249,0.911448,0.107636,0.982205,10.300317,105161.273438,8344000.000000,27,1,0,1,24,1,0.000000,inf,3158.000000,1720.187500,26260.500000
20180630-IMG_0859__2,0.276802,25.603580,0.883417,0.145054,1.315518,16.441788,240515.468750,23460072.000000,67,0,0,0,65,2,-nan(ind),-nan(ind),-nan(ind),1260.746094,46645.000000
20180630-IMG_0859__3,0.334003,23.775774,0.885489,0.141683,1.248696,17.037960,307242.656250,31415732.000000,51,1,0,0,44,6,0.000000,-nan(ind),inf,1454.397705,41638.667969
20180630-IMG_0858__0,0.438245,25.828011,0.901801,0.114018,1.037849,13.781866,275909.437500,29941538.000000,35,2,0,0,30,3,0.000000,-nan(ind),inf,2405.750000,15129.833008
20180630-IMG_0858__1,0.189584,7.980449,0.890926,0.170541,1.491880,20.357103,291519.406250,27757214.000000,17,0,0,0,15,2,-nan(ind),-nan(ind),-nan(ind),2484.566650,44820.000000
20180630-IMG_0858__2,0.520937,24.655329,0.906705,0.099073,0.890697,10.944160,215496.906250,23241850.000000,30,4,0,0,26,0,0.000000,-nan(ind),inf,1156.192261,-nan(ind)
20180630-IMG_0858__3,0.345360,10.493170,0.912231,0.115510,1.079310,12.056582,101054.250000,6979889.500000,32,0,0,1,25,6,-nan(ind),inf,0.000000,2214.840088,46070.082031
20180630-IMG_0857__0,0.369274,47.889942,0.834741,0.154333,1.240373,15.547328,316042.437500,34053188.000000,125,8,0,0,107,10,0.000000,-nan(ind),inf,1808.000000,30451.300781
20180630-IMG_0857__1,0.558419,12.231951,0.921839,0.083412,0.778655,6.791779,58646.164063,4224703.500000,69,4,2,0,61,2,131609.125000,0.000000,inf,1484.483643,18439.500000
20180630-IMG_0857__2,0.327207,64.426003,0.809001,0.168883,1.305956,17.901522,396414.406250,43631512.000000,133,2,0,0,119,12,0.000000,-nan(ind),inf,954.281494,31473.958984
20180630-IMG_0857__3,0.506290,18.722687,0.898151,0.102240,0.898998,8.635669,93680.523438,7434896.000000,102,3,0,0,87,12,0.000000,-nan(ind),inf,1903.620728,26496.541016
20180630-IMG_0855__0,0.514990,9.975391,0.933378,0.089531,0.832098,8.286261,83191.664063,6652731.500000,23,3,0,1,15,4,0.000000,inf,2060.000000,1183.566650,20843.750000
20180630-IMG_0855__1,0.498300,5.077981,0.942885,0.084297,0.768821,7.406873,45367.226563,2743811.250000,36,2,0,1,31,2,0.000000,inf,6410.000000,1207.306396,33301.250000
20180630-IMG_0855__2,0.293626,19.672472,0.897135,0.137493,1.292458,16.669844,277917.343750,28548464.000000,52,4,0,0,45,3,0.000000,-nan(ind),inf,1469.566650,16039.500000
20180630-IMG_0855__3,0.972768,5.857250,0.991850,0.005058,0.054596,0.422208,14298.948242,1927140.625000,30,0,0,0,30,0,-nan(ind),-nan(ind),-nan(ind),1494.849976,-nan(ind)
20180630-IMG_0853__0,0.967602,6.064475,0.990623,0.005745,0.065036,0.601077,21119.417969,2871641.750000,21,0,0,0,19,2,-nan(ind),-nan(ind),-nan(ind),487.000000,28200.500000
20180630-IMG_0853__1,0.368936,40.979195,0.879166,0.122727,1.171538,16.057907,336876.531250,36862652.000000,120,1,0,0,113,6,0.000000,-nan(ind),inf,1016.336304,28021.000000
20180630-IMG_0853__2,0.891911,18.871284,0.971129,0.017530,0.191889,2.561836,92186.156250,12588010.000000,32,0,0,0,30,2,-nan(ind),-nan(ind),-nan(ind),946.083313,16939.250000
20180630-IMG_0853__3,0.330837,59.136333,0.846474,0.138172,1.227111,18.788803,448538.468750,50828752.000000,106,0,0,0,103,3,-nan(ind),-nan(ind),-nan(ind),1115.679565,19998.000000
20180630-IMG_0849__0,0.710421,12.802763,0.932947,0.058268,0.542860,4.609687,49097.679688,3781032.250000,95,10,0,2,73,10,0.000000,inf,8133.500000,2131.684814,22008.849609
20180630-IMG_0849__1,0.501390,13.190112,0.918959,0.092801,0.893644,9.052325,98460.070313,7948232.500000,78,6,0,0,62,10,0.000000,-nan(ind),inf,2036.548340,21242.150391
20180630-IMG_0849__2,0.661947,17.025776,0.928944,0.068115,0.619825,6.834078,105550.703125,9651539.000000,70,4,0,0,52,14,0.000000,-nan(ind),inf,2550.028809,25570.927734
20180630-IMG_0849__3,0.724831,10.515753,0.945106,0.054354,0.513822,4.810071,58276.324219,4816012.000000,64,3,1,0,50,10,729.500000,0.000000,inf,2081.610107,20448.750000
20180630-IMG_0848__0,0.469570,38.010368,0.876274,0.116083,1.014896,13.125501,268014.125000,28515046.000000,111,7,0,0,82,22,0.000000,-nan(ind),inf,1762.682983,22909.955078
20180630-IMG_0848__1,0.471422,41.127434,0.874585,0.116246,0.999222,13.270178,284787.468750,30829250.000000,123,4,0,0,103,16,0.000000,-nan(ind),inf,1597.266968,20611.750000
